station_from_nlc,station_to_nlc,time,line
641_Bakerloo,511_Bakerloo,1.5,Bakerloo
685_Bakerloo,511_Bakerloo,2,Bakerloo
542_Bakerloo,732_Bakerloo,1,Bakerloo
674_Bakerloo,732_Bakerloo,1.5,Bakerloo
641_Bakerloo,774_Bakerloo,1,Bakerloo
670_Bakerloo,774_Bakerloo,1.5,Bakerloo
628_Bakerloo,570_Bakerloo,2.5,Bakerloo
732_Bakerloo,542_Bakerloo,1.5,Bakerloo
747_Bakerloo,542_Bakerloo,1.5,Bakerloo
717_Bakerloo,596_Bakerloo,2.4,Bakerloo
1457_Bakerloo,596_Bakerloo,2,Bakerloo
620_Bakerloo,597_Bakerloo,3,Bakerloo
680_Bakerloo,617_Bakerloo,2.72,Bakerloo
1457_Bakerloo,617_Bakerloo,2.5,Bakerloo
597_Bakerloo,620_Bakerloo,2.5,Bakerloo
1453_Bakerloo,620_Bakerloo,2,Bakerloo
637_Bakerloo,623_Bakerloo,1.5,Bakerloo
680_Bakerloo,623_Bakerloo,1.5,Bakerloo
570_Bakerloo,628_Bakerloo,2,Bakerloo
747_Bakerloo,628_Bakerloo,2,Bakerloo
623_Bakerloo,637_Bakerloo,2,Bakerloo
746_Bakerloo,637_Bakerloo,1.5,Bakerloo
511_Bakerloo,641_Bakerloo,1.5,Bakerloo
774_Bakerloo,641_Bakerloo,1.5,Bakerloo
1453_Bakerloo,659_Bakerloo,1.5,Bakerloo
751_Bakerloo,659_Bakerloo,2,Bakerloo
674_Bakerloo,669_Bakerloo,2.19,Bakerloo
685_Bakerloo,669_Bakerloo,2,Bakerloo
774_Bakerloo,670_Bakerloo,2,Bakerloo
746_Bakerloo,670_Bakerloo,2,Bakerloo
732_Bakerloo,674_Bakerloo,2,Bakerloo
669_Bakerloo,674_Bakerloo,2.48,Bakerloo
617_Bakerloo,680_Bakerloo,4.72,Bakerloo
623_Bakerloo,680_Bakerloo,2.89,Bakerloo
511_Bakerloo,685_Bakerloo,2,Bakerloo
669_Bakerloo,685_Bakerloo,2,Bakerloo
620_Bakerloo,1453_Bakerloo,2,Bakerloo
659_Bakerloo,1453_Bakerloo,1.5,Bakerloo
596_Bakerloo,717_Bakerloo,2.53,Bakerloo
751_Bakerloo,717_Bakerloo,3.13,Bakerloo
637_Bakerloo,746_Bakerloo,1.5,Bakerloo
670_Bakerloo,746_Bakerloo,2,Bakerloo
542_Bakerloo,747_Bakerloo,1.5,Bakerloo
628_Bakerloo,747_Bakerloo,2.06,Bakerloo
659_Bakerloo,751_Bakerloo,2.06,Bakerloo
717_Bakerloo,751_Bakerloo,3.17,Bakerloo
596_Bakerloo,1457_Bakerloo,2.23,Bakerloo
617_Bakerloo,1457_Bakerloo,3.15,Bakerloo
634_Central,513_Central,2,Central
697_Central,513_Central,2,Central
576_Central,515_Central,1.75,Central
650_Central,515_Central,1.75,Central
634_Central,520_Central,2.75,Central
642_Central,520_Central,2.25,Central
640_Central,524_Central,1.25,Central
669_Central,524_Central,1.25,Central
636_Central,531_Central,2.5,Central
769_Central,531_Central,2.5,Central
607_Central,541_Central,1,Central
697_Central,541_Central,1.75,Central
587_Central,544_Central,2,Central
688_Central,544_Central,2.25,Central
636_Central,557_Central,2.25,Central
725_Central,557_Central,3.25,Central
753_Central,560_Central,2.82,Central
653_Central,563_Central,1.75,Central
764_Central,563_Central,3,Central
725_Central,572_Central,2.75,Central
515_Central,576_Central,1.79,Central
592_Central,576_Central,2,Central
650_Central,582_Central,3,Central
684_Central,582_Central,1.75,Central
544_Central,587_Central,2.11,Central
592_Central,587_Central,1.79,Central
657_Central,589_Central,2,Central
673_Central,589_Central,2.25,Central
576_Central,592_Central,4.12,Central
587_Central,592_Central,4.32,Central
653_Central,595_Central,3,Central
673_Central,595_Central,2.26,Central
541_Central,607_Central,1.25,Central
728_Central,607_Central,2.01,Central
663_Central,608_Central,1.5,Central
700_Central,608_Central,1.75,Central
640_Central,629_Central,2,Central
681_Central,629_Central,1.5,Central
633_Central,632_Central,2.25,Central
719_Central,632_Central,2.75,Central
632_Central,633_Central,2.76,Central
703_Central,633_Central,3.33,Central
743_Central,633_Central,3.64,Central
513_Central,634_Central,2.25,Central
520_Central,634_Central,3.25,Central
531_Central,636_Central,2.53,Central
557_Central,636_Central,3.4,Central
524_Central,640_Central,1.5,Central
629_Central,640_Central,2.5,Central
520_Central,642_Central,2.25,Central
719_Central,642_Central,3,Central
515_Central,650_Central,2.35,Central
582_Central,650_Central,2.98,Central
563_Central,653_Central,2.54,Central
595_Central,653_Central,3.48,Central
753_Central,653_Central,3.26,Central
589_Central,657_Central,2.28,Central
710_Central,657_Central,2.5,Central
608_Central,663_Central,1.5,Central
681_Central,663_Central,1.5,Central
524_Central,669_Central,1.5,Central
728_Central,669_Central,1.5,Central
589_Central,673_Central,2.25,Central
595_Central,673_Central,2.25,Central
629_Central,681_Central,1.75,Central
663_Central,681_Central,1.5,Central
582_Central,684_Central,2,Central
743_Central,684_Central,2,Central
544_Central,688_Central,2.5,Central
769_Central,688_Central,2.5,Central
710_Central,692_Central,1.54,Central
762_Central,692_Central,2.5,Central
608_Central,700_Central,1.75,Central
764_Central,700_Central,2.75,Central
633_Central,703_Central,2.25,Central
712_Central,703_Central,1.75,Central
